5139,Bihar,Muzaffarpur,B.M.Thakur Clinic,https://www.medindia.net/directories/hospitals/bmthakur-clinic-muzaffarpur-bihar-92684.htm,Muzaffarpur - 842001, Bihar
5140,Bihar,Muzaffarpur,Bathua Nursing Home,https://www.medindia.net/directories/hospitals/bathua-nursing-home-muzaffarpur-bihar-507.htm,Muzaffarpur - 842003, Bihar
5141,Bihar,Muzaffarpur,Bhawani Hospital,https://www.medindia.net/directories/hospitals/bhawani-hospital-muzaffarpur-bihar-103269.htm,Muzaffarpur - 842001, Bihar
5142,Bihar,Muzaffarpur,Care Nursing Home,https://www.medindia.net/directories/hospitals/care-nursing-home-muzaffarpur-bihar-96311.htm,Muzaffarpur - 842003, Bihar
5143,Bihar,Muzaffarpur,City Hospital,https://www.medindia.net/directories/hospitals/city-hospital-muzaffarpur-bihar-27192.htm,Muzaffarpur - 842002, Bihar
5144,Bihar,Muzaffarpur,Deenanath Mangeshkar Hospital,https://www.medindia.net/directories/hospitals/deenanath-mangeshkar-hospital-muzaffarpur-bihar-68883.htm,Muzaffarpur - 842001, Bihar
5145,Bihar,Muzaffarpur,Dr PN Singh,https://www.medindia.net/directories/hospitals/dr-pn-singh-muzaffarpur-bihar-77419.htm,Muzaffarpur - 842001, Bihar
5146,Bihar,Muzaffarpur,Dr. Barunesh Kishore,https://www.medindia.net/directories/hospitals/dr-barunesh-kishore-muzaffarpur-bihar-83265.htm,Muzaffarpur - 842001, Bihar
5147,Bihar,Muzaffarpur,Dr. Brajesh Kumar Ortho and Trauma Care,https://www.medindia.net/directories/hospitals/dr-brajesh-kumar-ortho-and-trauma-care-muzaffarpur-bihar-100619.htm,Muzaffarpur - 842001, Bihar
5148,Bihar,Muzaffarpur,Dr. Dipraj Dental Surgan Clinic,https://www.medindia.net/directories/hospitals/dr-dipraj-dental-surgan-clinic-muzaffarpur-bihar-49065.htm,Muzaffarpur - 843327, Bihar
5149,Bihar,Muzaffarpur,Dr. DN jha Homeopathic Clinic,https://www.medindia.net/directories/hospitals/dr-dn-jha-homeopathic-clinic-muzaffarpur-bihar-59450.htm,Muzaffarpur - 842001, Bihar
5150,Bihar,Muzaffarpur,Dr. F Rehman Clinic Ali Mirzapur Road,https://www.medindia.net/directories/hospitals/dr-f-rehman-clinic-ali-mirzapur-road-muzaffarpur-bihar-83511.htm,Muzaffarpur - 842001, Bihar
5151,Bihar,Muzaffarpur,Dr. R.N. Thakur Memorial Clinic,https://www.medindia.net/directories/hospitals/dr-rn-thakur-memorial-clinic-muzaffarpur-bihar-98552.htm,Muzaffarpur - 842003, Bihar
5152,Bihar,Muzaffarpur,Dr. Vijay Chest Clinic,https://www.medindia.net/directories/hospitals/dr-vijay-chest-clinic-muzaffarpur-bihar-69042.htm,Muzaffarpur - 842001, Bihar
5153,Bihar,Muzaffarpur,Healthy Home,https://www.medindia.net/directories/hospitals/healthy-home-muzaffarpur-bihar-87693.htm,Muzaffarpur - 842002, Bihar
5154,Bihar,Muzaffarpur,Help Clinic,https://www.medindia.net/directories/hospitals/help-clinic-muzaffarpur-bihar-87844.htm,Muzaffarpur - 842001, Bihar
5155,Bihar,Muzaffarpur,Indira IVF Fertility Center,https://www.medindia.net/directories/hospitals/indira-ivf-fertility-center-muzaffarpur-bihar-74032.htm,Muzaffarpur - 842001, Bihar
5156,Bihar,Muzaffarpur,Indra Sewa Sadan,https://www.medindia.net/directories/hospitals/indra-sewa-sadan-muzaffarpur-bihar-86913.htm,Muzaffarpur - 842001, Bihar
